id,original,translation
1,15 mm g            20 mm THK   A/C Drainage,
2,20 mm g            20 mm THK   A/C Drainage,
3,25 mm g            20 mm THK   A/C Drainage,
4,50 mm g            20 mm THK   A/C Drainage,
5,15 mm g            31 mm THK,
6,20 mm g            32 mm THK,
7,25 mm g            33 mm THK,
8,32 mm g            32 mm THK,
9,40 mm g            40 mm THK,
10,50 mm g            40 mm THK,
11,65 mm g            50 mm THK,
12,80 mm g            51 mm THK,
13,150 mm g          50 mm THK,
14,200 mm g          50 mm THK,
15,250 mm g          50 mm THK,
16,400 mm g          50 mm THK,
17,500 mm g          50 mm THK,
18,20 mm g            Rubber,
19,40 mm g            Rubber,
20,50 mm g            Rubber,
21,65 mm g            Rubber,
22,80 mm g            Rubber,
23,200 mm g          Rubber,
24,250 mm g          Rubber,
25,450 mm g          SUS 30 CM Length,
26,"Pressure Guage size 4"" DIA with needle valve",
27,"Duct Insulation : Fiberglass 50 mmTHK , 24 kg/m3",
28,"accuracy ±0.3C, Probe length 300 mm",
29,37 kW         for Condenser Water Pump,
30,45 kW         for Chilled Water Pump,
31,65 mm g              Soil,
32,80 mm g              Soil,
33,50 mm g              Process,
34,65 mm g              Process,
35,100 mm g          Process,
36,250 mm g          (inspection pit),
